TransactionNo,Items,DateTime,Daypart,DayType
1,Bread,30-10-2016 09:58,Morning,Weekend
2,Scandinavian,30-10-2016 10:05,Morning,Weekend
2,Scandinavian,30-10-2016 10:05,Morning,Weekend
3,Hot chocolate,30-10-2016 10:07,Morning,Weekend
3,Jam,30-10-2016 10:07,Morning,Weekend
3,Cookies,30-10-2016 10:07,Morning,Weekend
4,Muffin,30-10-2016 10:08,Morning,Weekend
5,Coffee,30-10-2016 10:13,Morning,Weekend
5,Pastry,30-10-2016 10:13,Morning,Weekend
5,Bread,30-10-2016 10:13,Morning,Weekend
6,Medialuna,30-10-2016 10:16,Morning,Weekend
6,Pastry,30-10-2016 10:16,Morning,Weekend
6,Muffin,30-10-2016 10:16,Morning,Weekend
7,Medialuna,30-10-2016 10:19,Morning,Weekend
7,Pastry,30-10-2016 10:19,Morning,Weekend
7,Coffee,30-10-2016 10:19,Morning,Weekend
7,Tea,30-10-2016 10:19,Morning,Weekend
8,Pastry,30-10-2016 10:20,Morning,Weekend
8,Bread,30-10-2016 10:20,Morning,Weekend
9,Bread,30-10-2016 10:21,Morning,Weekend
9,Muffin,30-10-2016 10:21,Morning,Weekend
10,Scandinavian,30-10-2016 10:25,Morning,Weekend
10,Medialuna,30-10-2016 10:25,Morning,Weekend
11,Bread,30-10-2016 10:27,Morning,Weekend
11,Medialuna,30-10-2016 10:27,Morning,Weekend
11,Bread,30-10-2016 10:27,Morning,Weekend
12,Jam,30-10-2016 10:30,Morning,Weekend
12,Coffee,30-10-2016 10:30,Morning,Weekend
12,Tartine,30-10-2016 10:30,Morning,Weekend
12,Pastry,30-10-2016 10:30,Morning,Weekend
12,Tea,30-10-2016 10:30,Morning,Weekend
13,Basket,30-10-2016 10:31,Morning,Weekend
13,Bread,30-10-2016 10:31,Morning,Weekend
13,Coffee,30-10-2016 10:31,Morning,Weekend
14,Bread,30-10-2016 10:32,Morning,Weekend
14,Medialuna,30-10-2016 10:32,Morning,Weekend
14,Pastry,30-10-2016 10:32,Morning,Weekend
15,Mineral water,30-10-2016 10:34,Morning,Weekend
15,Scandinavian,30-10-2016 10:34,Morning,Weekend
16,Bread,30-10-2016 10:37,Morning,Weekend
16,Medialuna,30-10-2016 10:37,Morning,Weekend
16,Coffee,30-10-2016 10:37,Morning,Weekend
17,Hot chocolate,30-10-2016 10:38,Morning,Weekend
18,Farm House,30-10-2016 10:41,Morning,Weekend
19,Farm House,30-10-2016 10:43,Morning,Weekend
19,Bread,30-10-2016 10:43,Morning,Weekend
20,Bread,30-10-2016 10:45,Morning,Weekend
20,Medialuna,30-10-2016 10:45,Morning,Weekend
21,Coffee,30-10-2016 10:49,Morning,Weekend
21,Coffee,30-10-2016 10:49,Morning,Weekend
